id,date,postId,user/id,user/name,user/profilePic,user/profileUrl,url,text,likesCount,commentsCount,viewsCount,sharesCount
UzpfSTEwMDAxMDU0NjY4MzAzMjoyMDIzNjQ5OTc0NjYzMjA2OjIwMjM2NDk5NzQ2NjMyMDY=,2023-10-13T12:05:58.000Z,2.02365E+15,1.00011E+14,Nguyèn Lee Tràn,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/328861080_717931169929539_5141021875103237245_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=z5riqUIl97cAX_Bf_CE&_nc_ht=scontent-hou1-1.xx&oh=00_AfAlKDd5v7kfx6xa9uwfTJ1xfCYUufKC3fvrgzsB8F5fpw&oe=6551EF44,https://www.facebook.com/kimwanlee.zolieyem.5,https://www.facebook.com/kimwanlee.zolieyem.5/posts/pfbid02ki1xppMQ72NsbFLdkJooENEVs5xGfZwgxD83vwFSpgYhdCHfEvFsP8CDt6MEgqBLl,Keep strong bro🥺🥺 #virareels #stopwar,26384,756,163042,1642
UzpfSTEwMDA5MzA5MTM0MDgzOToyMTU0NjI3MTE1NjY3NzI6MjE1NDYyNzExNTY2Nzcy,2023-11-05T10:00:57.000Z,2.15463E+14,1.00093E+14,Nowfal Md Safiulla,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/350508473_776589560798640_6414713083710354983_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=0HIa2ekASTMAX9vC2IX&_nc_ht=scontent-hou1-1.xx&oh=00_AfDzaxpw2RX4duouExMdqGIMHM4XUYYL6L7_TfgmQK-iKg&oe=6552869E,https://www.facebook.com/nmsafiulla,https://www.facebook.com/nmsafiulla/posts/pfbid0WUibsiMogeff46Q2zXDvfbXKnq2CVE2Dwa2RDq7xxunNqHjbx3tuoX6Sfrr5jxRgl,"মানবতার শত্রুদের দ্বারা সংঘটিত গাজা ভূখণ্ডে অনৈতিক যুদ্ধ বন্ধ করো।
মানবতার জয় হোক ✊
 #nmdsafiulla #IsraelPalestineWar 
 #stopwar #Gaza",337,3,2574,30
UzpfSTEwMDA0OTg1NzMyMTc0NDo4MTc5MjM4NjY1NDYxODM6ODE3OTIzODY2NTQ2MTgz,2023-08-31T22:14:50.000Z,8.17924E+14,1.0005E+14,Enrique Tj,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-1/364141060_803480801323823_724730228854320595_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mHbXDEFvTdkAX9-YZBn&_nc_ht=scontent-ord5-2.xx&oh=00_AfDfdSni6Tz8QP90WY1sEjzM-BTxOngMXaVWxMXswV5dzQ&oe=655345BE,https://www.facebook.com/frida.caro.330,https://www.facebook.com/frida.caro.330/posts/pfbid0HPbfzyCNb7LMsdWs61pb6yRDEjeVHcT5P9xuGuhhvd5894iaWAuaDobamB3LpVvSl,#BobMarley #bobmarleymusic #bobmarleyquotes #reggae #bobmarleyandthewailers #nomorewar #stopwar #blacklivesmatter,14611,195,184319,6902
UzpfSTEwMDAwMDkyODI5MjM4MDoyNDUxMDU0MTI2ODU2MDE0MzoyNDUxMDU0MTI2ODU2MDE0Mw==,2023-11-06T18:23:57.000Z,2.45105E+16,1.00001E+14,Maddy Bint Abdul Jabbar,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/386647570_24318397394441199_2583269645103216255_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WR7jAffztagAX-oHZ9D&_nc_ht=scontent-man2-1.xx&oh=00_AfCb_u-Z4RlIxXDUWRKYMQa2YQEUugMZhUvnh9bDHiZh3w&oe=6552BAF3,,https://www.facebook.com/ludbadijam.otamod/posts/pfbid029QSJczpv6u2Ud56ysoPakEKG2G55YMaQDz7ZW82EfJYrYoU54hk1N3Wm2t2hhh6Jl,"Save Palestinian people
#savepalestine #SaveTheChildren #savethemuslims #stopwar #FreePalestine",1,19,19,0
UzpfSTEwMDAyNTM4MjA0MDMyNDpWSzoxNDY4NjYyNDY3MjQ2Mjgy,2023-11-07T14:06:21.000Z,1.46866E+15,pfbid0oUtJbocgs3jdHr3wbMsGduKAXJdLcGxfVJ2TVfnDgQcGPUVGR8Qwyz8r4PgffRWol,Winter Zen,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/387744143_1469200603935994_2026928128032031164_n.jpg?stp=cp0_dst-jpg_p24x24&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=xl0yJn4t4dsAX-IvuLw&_nc_ht=scontent-man2-1.xx&oh=00_AfAZWHbUEF4VCNTpqPEeOASkuKaYbcz7Xkc3-IEV4fXL0Q&oe=6553570A,,https://www.facebook.com/groups/230840991028442/permalink/1468662467246282/,"Sometimes you can see the world better with your eyes closed 🫣 no peeking 🤭

Good night everyone...I hope the world will be better tomorrow with lots of smiles

Stay safe, stay healthy, stay pretty, be happy and extraordinary 🌹🤗

#fyp #fypシ゚ #betterworld #happiness #stopwar #iu #UAENA",2217,37,,22
UzpfSTEwMDA0NDU2MjU3NDA5Mjo1MTM4MTgwOTY3ODAyNzI6NTEzODE4MDk2NzgwMjcy,2022-03-13T23:02:49.000Z,5.13818E+14,1.00045E+14,Gogol Bordello,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/275002040_506246837537398_7120872262583940748_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RGza2HeintcAX9uRmwH&_nc_ht=scontent-man2-1.xx&oh=00_AfDSj1r9H0PMYzSf359mNmzapp3u0uKs_vdovudeh0lYBw&oe=655247A9,https://www.facebook.com/gogolbordello,https://www.facebook.com/gogolbordello/posts/pfbid0YM47cm4EdL97BzyYXemu7Cf6WPoFPZuNDrxsd5hu4c62L7Y3Z9QtKwr263mSdrnUl,"Pro-Boxer World Star Wladimir Klitschko 🇺🇦/brother of KYIV’s Mayor @vitaliyklitschko) says it like it is: 
#Repost from @klitschko 

Support Ukraine : https:\/\/ukrainewar.carrd.co

#StopTheWar #StandWithUkraine #Standtogether #FreeUkraine #Ukraine #StopWar",78754,5862,1867385,14804
UzpfSTEwMDA2NjY2MjEzNTg0MTo2NzM3NjI1NzE1MjI0NzU6NjczNzYyNTcxNTIyNDc1,2023-10-21T11:26:24.000Z,6.73763E+14,1.00067E+14,Moeen Ali,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/386755431_667510715480994_2814312273412357873_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rbTCnOWOb_MAX9Mi_-4&_nc_ht=scontent-man2-1.xx&oh=00_AfDNdMYWyQyBuHc2ATyEvRiquaI7ZaryDLedlkGtkJnFTw&oe=65522444,https://www.facebook.com/cricket09127,https://www.facebook.com/cricket09127/posts/pfbid0P7hw7HM1m2rmwRX4rJvRMDwK2kUqM1jQyoJfKS5zhppQpvbg2cYryh7QwGsZNdevl,"Palastine Doctor crying 😭 , His brother and father were killed by Israel #Palestine #stopwar #peace",370,20,5160,12
UzpfSTEwMDAzNjg2ODM0NDM0OToxMDExOTY0NDQ2NzA5MTU3OjEwMTE5NjQ0NDY3MDkxNTc=,2023-11-08T03:05:42.000Z,1.01196E+15,1.00037E+14,Organonfire,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/335395055_960167585341483_8710549730361326775_n.jpg?stp=c0.17.40.40a_cp0_dst-jpg_p40x40&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=wRJaqzimvskAX-lQW6f&_nc_ht=scontent-man2-1.xx&oh=00_AfBjAgPQnZ636h_6xBZwaS-h2Wk3HI-Jo476Gb07Mw0emw&oe=655244F9,https://www.facebook.com/Organonfire,https://www.facebook.com/Organonfire/posts/pfbid02bs4KE815Pi6ff4EZRGwevhuwwidtpr5u4C7kG4rHWwVeHWpp43LcoPTqPSPsodAnl,"✌️& 🫶
#Organonfire #AiArt
💙💬♻️ 
✅️𝑭𝒐𝒍𝒍𝒐𝒘 𝒎𝒆 𝒇𝒐𝒓 𝒎𝒐𝒓𝒆 𝒄𝒐𝒏𝒕𝒆𝒏𝒕
#art #bluewillowai #LimeWireAi 
#stopwar #nowars #peace",19,0,163,13
UzpfSTEwMDAwMDE2MDQwNTY0Njo3NjY1MjI1NzEwMTU5MzY2Ojc2NjUyMjU3MTAxNTkzNjY=,2023-11-07T23:10:17.000Z,7.66523E+15,1E+14,Nawfal El Madani,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/343019389_1079341286365325_6629855699565702971_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=YeLemmM_yHcAX90aUC-&_nc_oc=AQm6FprqNEZ9Gt0D0Eis-wxxR5Ym3FCEznDSJUshiFcpHajRDQ99cSgCo072s_UeBxM&_nc_ht=scontent-man2-1.xx&oh=00_AfAj65Bxuk411eG-81KFtklDNFjSiVWh4zHro6Pu10A4Vg&oe=65533187,https://www.facebook.com/Nawfal.EL.madani,https://www.facebook.com/Nawfal.EL.madani/posts/pfbid01NmRFHBAofU43UdWL5VWAvSpnRwkUXvMZsJGa1hJ3uLDoPj3euyzTMbYNUuFy4Vhl,"From the river to the sea, 
Palestine 🇵🇸 will be free . 

Teaching our children to be compassionate and express solidarity with Palestinian children in Gaza is a valuable lesson in empathy, understanding, and global citizenship. It helps them become more aware of the world's challenges and encourages them to work towards a more compassionate and peaceful future

#أوقفوا_الإبادة  #CeasefireForGazaNOW #FreePalestine #FreeGaza #فلسطيني #stopwar",25,5,107,2
UzpfSTEwMDAwMjU0NTczODQ5MDo2ODc3NjM0NjM1NjY0NjU5OjY4Nzc2MzQ2MzU2NjQ2NTk=,2023-11-09T18:33:09.000Z,6.87763E+15,1.00003E+14,Killom Lalbagi,https://scontent.fmem1-1.fna.fbcdn.net/v/t1.6435-1/78487486_2648936311867867_2941052274106957824_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=101&ccb=1-7&_nc_sid=0222cc&_nc_ohc=RzbWPjag5g4AX8gn2x_&_nc_ht=scontent.fmem1-1.fna&oh=00_AfDht2Cj8kbvzYdpoBTU6nLdW45eP0C288Ay3mCUdqhUhQ&oe=65758207,https://www.facebook.com/studiolalbagi,https://www.facebook.com/studiolalbagi/posts/pfbid0eHW8yyVQhp3nvmPqWn63kT5b3ZJmdte4cJ23CbhjNK9mNkexB2hbmWCnDshUsvHil,"Fruitful war (2)

#AIPromptEngineering
#aiconceptart
#aiexperiments
#stopwar",55,2,,8
